,title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source,year
13,Your Name.,"Drama, Romance, Supernatural",CoMix Wave,1,2016-08-01,Movie,85.0,AniList,2016.0
14,A Silent Voice,"Drama, Romance, Slice of Life",Kyoto Animation,1,2016-09-01,Movie,88.0,AniList,2016.0
46,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Action, Adventure, Drama, Fantasy, Mystery, Supernatural",ufotable,1,2020-10-01,Movie,84.0,AniList,2020.0
53,Spirited Away,"Adventure, Drama, Fantasy, Supernatural",Studio Ghibli,1,2001-07-01,Movie,86.0,AniList,2001.0
85,JUJUTSU KAISEN 0,"Action, Supernatural",MAPPA,1,2021-12-01,Movie,84.0,AniList,2021.0
102,Howl‘s Moving Castle,"Adventure, Drama, Fantasy, Romance",Studio Ghibli,1,2004-11-01,Movie,85.0,AniList,2004.0
103,I Want to Eat Your Pancreas,"Drama, Romance, Slice of Life",Studio VOLN,1,2018-09-01,Movie,84.0,AniList,2018.0
106,Weathering With You,"Drama, Romance, Slice of Life, Supernatural",CoMix Wave,1,2019-07-01,Movie,81.0,AniList,2019.0
141,Princess Mononoke,"Action, Adventure, Drama, Fantasy",Studio Ghibli,1,1997-07-01,Movie,85.0,AniList,1997.0
161,My Neighbor Totoro,"Adventure, Fantasy, Slice of Life, Supernatural",Studio Ghibli,1,1988-04-01,Movie,80.0,AniList,1988.0
185,The Garden of Words,"Drama, Psychological, Romance, Slice of Life",CoMix Wave,1,2013-05-01,Movie,75.0,AniList,2013.0
187,5 Centimeters per Second,"Drama, Romance, Slice of Life",CoMix Wave,3,2007-02-01,Movie,72.0,AniList,2007.0
189,Rascal Does Not Dream of a Dreaming Girl,"Drama, Psychological, Romance, Supernatural",CloverWorks,1,2019-06-01,Movie,84.0,AniList,2019.0
196,Neon Genesis Evangelion: The End of Evangelion,"Action, Drama, Mecha, Psychological, Sci-Fi",Gainax,1,1997-07-01,Movie,85.0,AniList,1997.0
208,KONOSUBA -God's blessing on this wonderful world!- Legend of Crimson,"Action, Adventure, Comedy, Ecchi, Fantasy, Supernatural",J.C.STAFF,1,2019-08-01,Movie,83.0,AniList,2019.0
222,"No Game, No Life Zero","Action, Adventure, Drama, Fantasy, Romance",MADHOUSE,1,2017-07-01,Movie,80.0,AniList,2017.0
231,Perfect Blue,"Drama, Horror, Psychological, Thriller",MADHOUSE,1,1998-02-01,Movie,85.0,AniList,1998.0
235,Akira,"Action, Adventure, Horror, Psychological, Sci-Fi, Supernatural",Tokyo Movie Shinsha,1,1988-07-01,Movie,79.0,AniList,1988.0
236,My Hero Academia: Two Heroes,"Action, Comedy, Drama, Sci-Fi",bones,1,2018-08-01,Movie,74.0,AniList,2018.0
246,Attack on Titan Final Season THE FINAL CHAPTERS Special 1,"Action, Drama, Fantasy, Mystery, Psychological",MAPPA,1,2023-03-01,Special,87.0,AniList,2023.0
267,Into the Forest of Fireflies' Light,"Drama, Fantasy, Romance, Supernatural",Aniplex,1,2011-09-01,Movie,79.0,AniList,2011.0
273,Wolf Children,"Drama, Fantasy, Romance, Slice of Life",MADHOUSE,1,2012-06-01,Movie,83.0,AniList,2012.0
277,Sword Art Online the Movie: Ordinal Scale,"Action, Adventure, Fantasy, Romance, Sci-Fi",A-1 Pictures,1,2017-02-01,Movie,73.0,AniList,2017.0
284,Grave of the Fireflies,Drama,Studio Ghibli,1,1988-04-01,Movie,83.0,AniList,1988.0
293,Violet Evergarden: the Movie,"Drama, Fantasy, Slice of Life",Kyoto Animation,1,2020-09-01,Movie,87.0,AniList,2020.0
309,A Whisker Away,"Drama, Fantasy, Romance",Studio Colorido,1,2020-06-01,Movie,72.0,AniList,2020.0
315,Kiki's Delivery Service,"Adventure, Drama, Fantasy, Slice of Life",Studio Ghibli,1,1989-07-01,Movie,81.0,AniList,1989.0
316,Ponyo,"Adventure, Fantasy",Studio Ghibli,1,2008-07-01,Movie,79.0,AniList,2008.0
324,The Girl Who Leapt Through Time,"Drama, Romance, Sci-Fi",MADHOUSE,1,2006-07-01,Movie,78.0,AniList,2006.0
335,Suzume,"Adventure, Fantasy, Mystery, Supernatural",CoMix Wave,1,2022-11-01,Movie,82.0,AniList,2022.0
339,My Hero Academia: Heroes Rising,"Action, Sci-Fi",bones,1,2019-12-01,Movie,78.0,AniList,2019.0
359,Kizumonogatari Part 1: Tekketsu,"Action, Drama, Ecchi, Mystery, Psychological, Supernatural",Aniplex,1,2016-01-01,Movie,83.0,AniList,2016.0
361,"Josee, the Tiger and the Fish","Drama, Romance, Slice of Life",bones,1,2020-12-01,Movie,82.0,AniList,2020.0
364,Ghost in the Shell,"Action, Psychological, Sci-Fi",Production I.G,1,1995-11-01,Movie,80.0,AniList,1995.0
377,Made in Abyss: Dawn of the Deep Soul,"Action, Adventure, Drama, Fantasy, Horror, Mystery, Psychological, Sci-Fi",Kinema Citrus,1,2020-01-01,Movie,85.0,AniList,2020.0
411,The Disappearance of Haruhi Suzumiya,"Drama, Mystery, Sci-Fi, Supernatural",Kyoto Animation,1,2010-02-01,Movie,86.0,AniList,2010.0
420,Kizumonogatari Part 3: Reiketsu,"Action, Drama, Ecchi, Mystery, Psychological, Supernatural",Shaft,1,2017-01-01,Movie,87.0,AniList,2017.0
424,Attack on Titan Final Season THE FINAL CHAPTERS Special 2,"Action, Drama, Fantasy, Psychological, Romance",MAPPA,1,2023-11-01,Special,87.0,AniList,2023.0
425,Paprika,"Fantasy, Mystery, Psychological, Sci-Fi, Thriller",MADHOUSE,1,2006-11-01,Movie,78.0,AniList,2006.0
433,Kizumonogatari Part 2: Nekketsu,"Action, Drama, Ecchi, Mystery, Psychological, Supernatural",Shaft,1,2016-08-01,Movie,85.0,AniList,2016.0
434,Fate/stay night [Heaven's Feel] I. presage flower,"Action, Fantasy, Psychological, Supernatural",ufotable,1,2017-10-01,Movie,80.0,AniList,2017.0
440,Maquia: When the Promised Flower Blooms,"Drama, Fantasy, Psychological",P.A.WORKS,1,2018-02-01,Movie,82.0,AniList,2018.0
441,Evangelion: 1.0 You Are (Not) Alone,"Action, Drama, Mecha, Psychological, Sci-Fi",Gainax,1,2007-09-01,Movie,77.0,AniList,2007.0
446,Steins;Gate The Movie – Load Region of Déjà Vu,"Drama, Romance, Sci-Fi, Thriller",Frontier Works,1,2013-04-01,Movie,82.0,AniList,2013.0
448,Violet Evergarden: Eternity and the Auto Memory Doll,"Drama, Fantasy, Slice of Life",Kyoto Animation,1,2019-09-01,Movie,83.0,AniList,2019.0
450,The Last: Naruto the Movie,"Action, Romance",Studio Pierrot,1,2014-12-01,Movie,75.0,AniList,2014.0
477,Evangelion: 2.0 You Can (Not) Advance,"Action, Drama, Mecha, Psychological, Sci-Fi",Gainax,1,2009-07-01,Movie,81.0,AniList,2009.0
488,Castle in the Sky,"Adventure, Fantasy, Sci-Fi",Studio Ghibli,1,1986-08-01,Movie,80.0,AniList,1986.0
506,Fate/stay night [Heaven's Feel] II. lost butterfly,"Action, Fantasy, Psychological, Romance, Supernatural, Thriller",ufotable,1,2019-01-01,Movie,84.0,AniList,2019.0
514,KONOSUBA -God's blessing on this wonderful world!: God's Blessings On This Wonderful Choker!,"Comedy, Ecchi, Fantasy",Studio DEEN,1,2016-06-01,Ova,76.0,AniList,2016.0
544,Evangelion: 3.0 You Can (Not) Redo,"Action, Drama, Mecha, Psychological, Sci-Fi",Studio Khara,1,2012-11-01,Movie,75.0,AniList,2012.0
558,Dragon Ball Super: Broly,"Action, Adventure, Fantasy, Sci-Fi",Toei Animation,1,2018-12-01,Movie,80.0,AniList,2018.0
559,Tamako -love story-,"Romance, Slice of Life",Kyoto Animation,1,2014-04-01,Movie,79.0,AniList,2014.0
563,Summer Wars,"Action, Comedy, Drama, Romance, Sci-Fi",MADHOUSE,1,2009-08-01,Movie,77.0,AniList,2009.0
566,Steins;Gate: Egoistic Poriomania,"Comedy, Romance, Sci-Fi",Frontier Works,1,2012-02-01,Ova,80.0,AniList,2012.0
571,Puella Magi Madoka Magica the Movie Part III: Rebellion,"Drama, Fantasy, Mahou Shoujo, Mystery, Psychological, Thriller",Aniplex,1,2013-10-01,Movie,84.0,AniList,2013.0
575,Fate/stay night [Heaven’s Feel] III. spring song,"Action, Drama, Fantasy, Psychological, Supernatural, Thriller",ufotable,1,2020-08-01,Movie,85.0,AniList,2020.0
583,Evangelion: 3.0+1.0 Thrice Upon a Time,"Action, Drama, Mecha, Psychological, Sci-Fi",Studio Khara,1,2021-03-01,Movie,85.0,AniList,2021.0
586,the Garden of sinners Chapter 1: Thanatos. (Overlooking View),"Action, Mystery, Supernatural, Thriller",Aniplex,1,2007-12-01,Movie,73.0,AniList,2007.0
587,Violet Evergarden: Special,"Drama, Fantasy, Romance, Slice of Life",Kyoto Animation,1,2018-07-01,Ova,82.0,AniList,2018.0
592,Promare,"Action, Mecha, Sci-Fi",TRIGGER,1,2019-05-01,Movie,78.0,AniList,2019.0
593,KONOSUBA -God's blessing on this wonderful world! 2: God's Blessings on These Wonderful Works of Art!,"Adventure, Comedy, Fantasy",Studio DEEN,1,2017-07-01,Ova,78.0,AniList,2017.0
595,The Boy and The Beast,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural",Studio Chizu,1,2015-07-01,Movie,79.0,AniList,2015.0
608,Redline,"Action, Romance, Sci-Fi, Sports",MADHOUSE,1,2009-08-01,Movie,81.0,AniList,2009.0
618,The Wind Rises,"Drama, Romance",Studio Ghibli,1,2013-07-01,Movie,80.0,AniList,2013.0
620,Dr. STONE Special Episode – RYUSUI,"Action, Adventure, Comedy, Sci-Fi",TMS Entertainment,1,2022-07-01,Special,81.0,AniList,2022.0
621,Whisper of the Heart,"Adventure, Drama, Romance, Slice of Life",Studio Ghibli,1,1995-07-01,Movie,81.0,AniList,1995.0
633,Nausicaä of the Valley of the Wind,"Action, Adventure, Drama, Fantasy, Sci-Fi",Studio Hibari,1,1984-03-01,Movie,81.0,AniList,1984.0
639,The Secret World of Arrietty,"Adventure, Drama, Fantasy",Studio Ghibli,1,2010-07-01,Movie,77.0,AniList,2010.0
647,Little Witch Academia,"Comedy, Fantasy",TRIGGER,1,2013-03-01,Movie,76.0,AniList,2013.0
662,The Quintessential Quintuplets Movie,"Comedy, Drama, Romance, Slice of Life",Bibury Animation Studios,1,2022-05-01,Movie,78.0,AniList,2022.0
667,Boruto: Naruto the Movie,"Action, Adventure, Comedy",Studio Pierrot,1,2015-08-01,Movie,70.0,AniList,2015.0
674,The Anthem of the Heart,"Drama, Music, Romance, Slice of Life, Supernatural",A-1 Pictures,1,2015-09-01,Movie,76.0,AniList,2015.0
680,Ride Your Wave,"Drama, Fantasy, Romance",Science SARU,1,2019-06-01,Movie,75.0,AniList,2019.0
689,Sword Art Online the Movie -Progressive- Aria of a Starless Night,"Action, Adventure, Fantasy, Romance",A-1 Pictures,1,2021-10-01,Movie,78.0,AniList,2021.0
691,GOBLIN SLAYER -GOBLIN’S CROWN-,"Action, Adventure, Fantasy",WHITE FOX,1,2020-02-01,Movie,71.0,AniList,2020.0
693,Given The Movie,"Drama, Music, Romance",Lerche,1,2020-08-01,Movie,80.0,AniList,2020.0
701,My Hero Academia: World Heroes' Mission,"Action, Adventure, Sci-Fi",bones,1,2021-08-01,Movie,76.0,AniList,2021.0
705,Words Bubble Up Like Soda Pop,"Romance, Slice of Life",Signal.MD,1,2021-07-01,Movie,74.0,AniList,2021.0
717,Code Geass: Lelouch of the Re;surrection,"Action, Drama, Mecha, Sci-Fi",Sunrise,1,2019-02-01,Movie,77.0,AniList,2019.0
725,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"Action, Adventure, Comedy, Fantasy",8-bit,1,2022-11-01,Movie,77.0,AniList,2022.0
728,HELLO WORLD,"Drama, Psychological, Romance, Sci-Fi",Graphinica,1,2019-09-01,Movie,73.0,AniList,2019.0
733,One-Punch Man: Road to Hero,"Action, Comedy, Sci-Fi, Supernatural",MADHOUSE,1,2015-12-01,Ova,75.0,AniList,2015.0
737,The Seven Deadly Sins the Movie: Prisoners of the Sky,"Action, Adventure, Fantasy",A-1 Pictures,1,2018-08-01,Movie,69.0,AniList,2018.0
745,Saga of Tanya the Evil - the Movie -,"Action, Fantasy",NUT,1,2019-02-01,Movie,81.0,AniList,2019.0
757,K-ON!: The Movie,"Comedy, Music, Slice of Life",Kyoto Animation,1,2011-12-01,Movie,83.0,AniList,2011.0
758,The Future Diary: Redial,"Action, Psychological, Supernatural",Asread,1,2013-06-01,Ova,68.0,AniList,2013.0
761,Black Clover: Sword of the Wizard King,"Action, Adventure, Comedy, Fantasy",Shueisha,1,2023-06-01,Movie,80.0,AniList,2023.0
763,Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen OVA,"Comedy, Ecchi, Romance, Slice of Life",Shueisha,1,2021-05-01,Ova,75.0,AniList,2021.0
768,Bungo Stray Dogs: DEAD APPLE,"Action, Comedy, Mystery, Supernatural",bones,1,2018-03-01,Movie,78.0,AniList,2018.0
769,The Disastrous Life of Saiki K. Season 3,"Comedy, Slice of Life, Supernatural",J.C.STAFF,1,2018-12-01,Special,81.0,AniList,2018.0
784,Tokyo Godfathers,"Adventure, Comedy, Drama",MADHOUSE,1,2003-11-01,Movie,81.0,AniList,2003.0
790,When Marnie Was There,"Drama, Mystery, Psychological",Studio Ghibli,1,2014-07-01,Movie,78.0,AniList,2014.0
793,SPY x FAMILY CODE: White,"Action, Adventure, Comedy, Slice of Life, Supernatural",WIT STUDIO,1,2023-12-01,Movie,81.0,AniList,2023.0
801,LOOK BACK,"Drama, Slice of Life",Studio Durian,1,2024-06-01,Movie,87.0,AniList,2024.0
813,Kuroko's Basketball: Last Game,"Comedy, Sports",Production I.G,1,2017-03-01,Movie,79.0,AniList,2017.0
814,"Love, Chunibyo & Other Delusions: Take on Me","Comedy, Drama, Romance, Slice of Life",Kyoto Animation,1,2018-01-01,Movie,80.0,AniList,2018.0
820,Doukyuusei -Classmates-,"Drama, Music, Romance, Slice of Life",Half H.P Studio,1,2016-02-01,Movie,81.0,AniList,2016.0
825,Cowboy Bebop: The Movie - Knockin' on Heaven's Door,"Action, Drama, Mystery, Sci-Fi",bones,1,2001-09-01,Movie,82.0,AniList,2001.0
827,"The Tunnel to Summer, the Exit of Goodbyes","Drama, Romance, Supernatural",CLAP,1,2022-09-01,Movie,78.0,AniList,2022.0
848,Steins;Gate 0: 23β -Divide by Zero-,"Drama, Psychological, Sci-Fi, Thriller",WHITE FOX,1,2015-12-01,Ova,81.0,AniList,2015.0
866,Patema Inverted,"Adventure, Romance, Sci-Fi",Asmik Ace,1,2013-11-01,Movie,77.0,AniList,2013.0
868,Sword Art Online EXTRA EDITION,"Action, Adventure, Fantasy, Romance",A-1 Pictures,1,2013-12-01,Special,61.0,AniList,2013.0
886,HAIKYU!! The Dumpster Battle,"Comedy, Drama, Sports",Toho,1,2024-02-01,Movie,86.0,AniList,2024.0
887,"Love, Chunibyo & Other Delusions: Glimmering...Explosive Festival (Slapstick Noel)","Comedy, Romance, Slice of Life",Kyoto Animation,1,2013-06-01,Ova,73.0,AniList,2013.0
895,Miss Kobayashi's Dragon Maid: Valentines and Hot Springs! (Please Don't Get Your Hopes Up),"Comedy, Fantasy, Romance, Slice of Life",Kyoto Animation,1,2017-09-01,Ova,76.0,AniList,2017.0
897,Sword of the Stranger,"Action, Adventure",bones,1,2007-09-01,Movie,79.0,AniList,2007.0
898,The Cat Returns,"Adventure, Comedy, Drama, Fantasy",Studio Ghibli,1,2002-07-01,Movie,75.0,AniList,2002.0
904,My Teen Romantic Comedy SNAFU OVA,"Comedy, Romance, Slice of Life",Brain's Base,1,2013-09-01,Ova,74.0,AniList,2013.0
905,The Stranger by the Shore,"Drama, Romance, Slice of Life",Studio Hibari,1,2020-09-01,Movie,77.0,AniList,2020.0
908,Anohana the Movie: The Flower We Saw That Day,"Drama, Romance, Slice of Life, Supernatural",Aniplex,1,2013-08-01,Movie,75.0,AniList,2013.0
920,Fireworks,"Drama, Romance, Supernatural",Shaft,1,2017-08-01,Movie,59.0,AniList,2017.0
928,Mushoku Tensei: Jobless Reincarnation Cour 2 - Eris the Goblin Slayer,"Adventure, Drama, Fantasy",Studio Bind,1,2022-03-01,Special,78.0,AniList,2022.0
953,Dragon Ball Z: Battle of Gods,"Action, Adventure, Comedy, Sci-Fi",Toei Animation,1,2013-03-01,Movie,71.0,AniList,2013.0
955,Porco Rosso,"Action, Adventure, Comedy, Drama, Romance",Studio Ghibli,1,1992-07-01,Movie,78.0,AniList,1992.0
959,My Teen Romantic Comedy SNAFU TOO! OVA,"Comedy, Romance, Slice of Life",feel.,1,2016-10-01,Ova,78.0,AniList,2016.0
969,Road to Ninja: Naruto the Movie,"Action, Adventure",Studio Pierrot,1,2012-07-01,Movie,74.0,AniList,2012.0
970,I've Always Liked You,"Drama, Romance, Slice of Life",Qualia Animation,1,2016-04-01,Movie,70.0,AniList,2016.0
982,Liz and the Blue Bird,"Drama, Music, Slice of Life",Kyoto Animation,1,2018-04-01,Movie,83.0,AniList,2018.0
984,One Piece Film: Red,"Action, Adventure, Comedy, Drama, Fantasy, Music",Toei Animation,1,2022-08-01,Movie,78.0,AniList,2022.0
985,Fate/Grand Order: First Order,"Action, Fantasy",Lay-duce,1,2016-12-01,Special,65.0,AniList,2016.0
986,The Tale of The Princess Kaguya,"Drama, Fantasy, Romance",Studio Ghibli,1,2013-11-01,Movie,81.0,AniList,2013.0
991,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,"Action, Adventure, Comedy, Fantasy, Romance",J.C.STAFF,1,2019-02-01,Movie,73.0,AniList,2019.0
999,Beyond the Boundary -I'LL BE HERE-: Future,"Action, Drama, Fantasy, Romance, Slice of Life, Supernatural",Kyoto Animation,1,2015-04-01,Movie,79.0,AniList,2015.0
1011,WONDER EGG PRIORITY: My Priority,"Action, Drama, Fantasy, Mystery, Psychological, Sci-Fi, Thriller",CloverWorks,1,2021-06-01,Special,49.0,AniList,2021.0
1017,Boku no Hero Academia: Sukue! Kyuujo Kunren!,"Action, Adventure, Comedy, Supernatural",bones,1,2017-04-01,Ova,70.0,AniList,2017.0
1031,PSYCHO-PASS: The Movie,"Action, Sci-Fi",Production I.G,1,2015-01-01,Movie,75.0,AniList,2015.0
1035,BELLE,"Drama, Music, Mystery, Sci-Fi",Studio Chizu,1,2021-07-01,Movie,73.0,AniList,2021.0
1050,the Garden of sinners Chapter 2: …and nothing heart. (Murder Speculation Part A),"Action, Mystery, Romance, Supernatural, Thriller",ufotable,1,2007-12-01,Movie,75.0,AniList,2007.0
1052,Flavors of Youth,"Drama, Romance, Slice of Life",Haoliners Animation,3,2018-08-01,Movie,69.0,AniList,2018.0
1057,Death Billiards,"Drama, Mystery, Psychological, Thriller",MADHOUSE,1,2013-03-01,Movie,77.0,AniList,2013.0
1063,High School of the Dead: Drifters of the Dead,"Comedy, Ecchi, Supernatural",MADHOUSE,1,2011-04-01,Ova,62.0,AniList,2011.0
1068,"Clannad: Another World, Tomoyo Chapter","Drama, Romance, Slice of Life",Kyoto Animation,1,2008-07-01,Ova,77.0,AniList,2008.0
1077,Hunter x Hunter: Phantom Rouge,"Action, Adventure, Fantasy",MADHOUSE,1,2013-01-01,Movie,71.0,AniList,2013.0
1081,In This Corner of the World,"Drama, Slice of Life",MAPPA,1,2016-11-01,Movie,81.0,AniList,2016.0
1087,The Labyrinth of Grisaia,"Drama, Ecchi, Romance",8-bit,1,2015-04-01,Special,76.0,AniList,2015.0
1096,Millennium Actress,"Drama, Fantasy, Romance",MADHOUSE,1,2002-09-01,Movie,81.0,AniList,2002.0
1098,"the Garden of sinners Chapter 3: ever cry, never life. (Remaining Sense of Pain)","Action, Drama, Mystery, Supernatural, Thriller",ufotable,1,2008-02-01,Movie,77.0,AniList,2008.0
1101,Rascal Does Not Dream of a Sister Venturing Out,"Drama, Psychological, Supernatural",CloverWorks,1,2023-06-01,Movie,79.0,AniList,2023.0
1102,One Piece Film: Z,"Action, Adventure, Comedy, Drama",Toei Animation,1,2012-12-01,Movie,79.0,AniList,2012.0
1106,Kill la Kill: GOODBYE AGAIN,"Action, Comedy, Ecchi",TRIGGER,1,2014-09-01,Ova,75.0,AniList,2014.0
1107,the Garden of sinners Chapter 5: Paradox Paradigm,"Action, Drama, Mystery, Romance, Supernatural, Thriller",ufotable,1,2008-08-01,Movie,84.0,AniList,2008.0
1109,From Up on Poppy Hill,"Drama, Romance, Slice of Life",Studio Ghibli,1,2011-07-01,Movie,75.0,AniList,2011.0
1120,Angel's Egg,"Drama, Fantasy, Psychological",Studio Gallop,1,1985-12-01,Ova,76.0,AniList,1985.0
1126,Pokémon: The First Movie,"Action, Adventure, Drama, Fantasy, Sci-Fi",TV Tokyo,1,1998-07-01,Movie,74.0,AniList,1998.0
1128,Charlotte: Strong People,"Comedy, Drama, Supernatural",P.A.WORKS,1,2016-03-01,Ova,73.0,AniList,2016.0
1134,Neon Genesis Evangelion: Death & Rebirth,"Drama, Mecha, Psychological, Sci-Fi",Gainax,1,1997-03-01,Movie,73.0,AniList,1997.0
1140,TONIKAWA: Over The Moon For You ~SNS~,"Comedy, Romance, Slice of Life",Seven Arcs,1,2021-08-01,Ova,79.0,AniList,2021.0
1151,Tokyo Ghoul: [JACK],"Drama, Horror, Supernatural",Studio Pierrot,1,2015-09-01,Ova,70.0,AniList,2015.0
1161,One Piece: Stampede,"Action, Adventure, Comedy, Drama, Fantasy",Toei Animation,1,2019-08-01,Movie,80.0,AniList,2019.0
